	A_rep1	A_rep2	A_rep3	B_rep1	B_rep2	B_rep3
PAICS	7955	7173	13366	5833	5801	7116
PAIP1	1174	1064	2072	2085	1802	2462
PAIP2	3684	3550	6747	4167	4381	5245
PAIP2B	414	364	721	127	158	184
PAK1	1877	1691	3151	2455	2308	3038
PAK1IP1	1123	1132	2133	1214	1204	1556
PAK2	3135	2850	5198	4478	4194	4995
PAK3	2	2	11	28	16	37
PAK4	3232	2538	3474	3231	2760	4470
PAK6	2039	1765	2346	169	142	205
PALB2	942	826	1340	1363	1306	1674
PALD1	4	2	2	4	3	6
PALLD	10623	9930	16606	15534	15304	19973
PALM	6	7	15	6	4	6
PALM2	41	59	98	469	458	582
PALM3	1	0	0	6	6	4
PALMD	1742	1514	2714	106	75	109
PAM	3889	3674	6545	3435	3467	4715
PAM16	6	3	5	5	4	7
PAMR1	2	6	6	0	3	6
PAN2	3099	2776	4856	3604	3508	5063
PAN3	1153	1120	2288	1355	1330	1496
PAN3-AS1	74	63	131	98	101	129
PANK1	257	254	421	260	230	317
PANK2	1528	1388	2624	2608	2499	3059
PANK3	1496	1406	2509	2413	2442	3023
PANK4	861	722	1014	1516	1363	2112
PANX1	1526	1493	2267	3152	3132	4018
PANX2	129	106	124	262	229	341
PAOX	154	128	162	136	116	182
PAPD4	2274	2196	4043	2067	2103	2424
PAPD5	661	695	1124	730	681	814
PAPD7	2287	2041	3655	2489	2404	3331
PAPL	8	8	13	40	30	43
PAPLN	839	708	1232	506	516	629
PAPOLA	6615	6388	11879	7133	7320	8229
PAPOLB	4	1	8	1	6	3
PAPOLG	713	634	1292	823	814	894
PAPPA	8	16	25	550	509	676
PAPPA2	3	2	0	14	11	25
PAPSS1	2432	2175	4055	2390	2307	3098
PAPSS2	126	125	227	2008	1965	2481
PAQR3	710	709	1235	1553	1613	1779
PAQR4	776	611	856	1638	1439	2066
PAQR5	72	59	185	53	60	59
PAQR6	295	267	486	314	282	436
PAQR7	1343	1114	1856	1726	1580	2339
PAQR8	117	90	173	466	447	620
PAR-SN	23	14	20	15	19	22
PAR5	28	33	62	24	28	31
PARD3	4894	4339	7262	2434	2339	2993
PARD3B	88	82	124	51	41	68
PARD6A	84	62	84	13	10	14
PARD6B	371	372	838	11	14	16
PARD6G	1583	1425	2252	1011	913	1158
PARD6G-AS1	61	28	78	41	30	43
PARG	427	399	738	526	531	619
PARK2	4	3	2	6	9	13
PARK7	8100	6963	12501	9475	9232	12302
PARL	1567	1382	2618	1881	1857	2269
PARM1	24	30	39	14	12	31
PARN	2412	2264	4123	4053	3859	4922
PARP1	7045	6153	10599	5017	4763	6563
PARP10	2304	1857	2401	814	704	970
PARP11	355	359	687	450	431	497
PARP12	1335	1189	1900	1078	1059	1418
PARP14	2398	2162	3855	992	931	1285
PARP16	482	416	644	441	400	581
PARP2	1164	1036	2025	1994	2044	2535
PARP3	1262	1000	1500	1259	1139	1750
PARP4	4581	4213	7035	2737	2598	3490
PARP6	1746	1490	2739	2203	2067	2818
PARP8	1511	1419	2692	1087	1115	1379
PARP9	1519	1352	2498	664	654	797
PARPBP	453	462	959	312	354	394
PARS2	231	214	298	279	254	389
PART1	11	17	28	2	1	9
PARVA	3207	3081	5179	6754	6600	8965
PARVB	555	468	767	1377	1343	1866
PASK	549	508	862	793	753	1067
PATL1	2949	2629	4595	3924	3817	4901
PATL2	10	12	30	7	5	10
PATZ1	995	820	1313	1624	1578	2090
PAWR	739	690	1234	1580	1486	1907
PAX5	1	0	0	1	6	13
PAX6	70	65	155	148	118	159
PAX8	3	5	3	26	23	22
PAX9	497	428	701	270	275	391
PAXBP1	1347	1244	2172	1610	1579	1835
PAXBP1-AS1	38	47	80	60	69	74
PAXIP1	795	689	1188	947	881	1154
PBDC1	1138	1013	1999	1314	1319	1533
PBK	2708	2758	5565	1963	1974	2318
PBLD	139	155	343	212	159	247
PBRM1	3452	3222	5792	3602	3474	4221
PBX1	1119	1110	1829	480	450	506
PBX2	2275	1922	3104	2231	2119	2565
PBX3	1934	1885	3088	2376	2282	2801
PBXIP1	2820	2411	3593	3149	2956	4425
PC	2720	2291	3426	1032	859	1376
PCBD1	1165	999	1557	292	254	413
PCBD2	786	642	1257	319	298	353
PCBP1	11786	10099	15653	13462	12146	17541
PCBP1-AS1	117	127	181	169	145	196
PCBP2	13952	12304	22317	14437	14141	19288
PCBP4	646	544	768	2202	1929	2910
PCCA	1072	1025	1814	542	555	755
PCCB	1791	1566	2657	879	849	1255
PCDH1	6689	5512	8076	5891	5324	7959
PCDH10	0	1	0	9	5	7
PCDH12	19	13	15	75	55	104
PCDH18	22	24	27	11	11	21
PCDH19	3	4	3	7	18	16
PCDH7	604	525	742	105	98	164
PCDH9	26	26	42	556	519	567
PCDHA1	4	4	6	2	4	2
PCDHAC1	46	52	75	42	29	63
PCDHAC2	201	181	263	118	137	187
PCDHB10	15	8	22	34	33	39
PCDHB11	69	43	70	36	41	50
PCDHB12	30	25	40	101	105	138
PCDHB13	77	58	83	98	98	128
PCDHB14	301	253	451	499	489	668
PCDHB15	29	44	54	61	60	87
PCDHB16	22	11	36	81	62	110
PCDHB18	3	2	5	8	11	13
PCDHB19P	0	6	11	10	14	13
PCDHB2	64	61	86	122	87	128
PCDHB6	37	15	43	55	56	74
PCDHB7	10	11	27	54	46	82
PCDHB8	5	0	6	8	9	14
PCDHB9	9	7	9	40	36	34
PCDHGA1	16	15	14	27	32	32
PCDHGA10	268	229	323	386	398	617
PCDHGA11	300	258	441	874	772	1093
PCDHGA12	9	13	17	16	8	26
PCDHGA2	9	7	22	31	17	35
PCDHGA3	1	2	0	2	0	8
PCDHGA4	9	1	11	18	12	21
PCDHGA5	9	13	8	52	44	65
PCDHGA6	15	24	32	26	20	40
PCDHGA7	17	11	27	31	49	41
PCDHGA8	5	4	7	10	10	13
PCDHGA9	163	157	240	221	176	310
PCDHGB1	4	6	11	7	8	8
PCDHGB2	11	6	13	30	32	42
PCDHGB3	23	18	29	39	30	62
PCDHGB4	9	5	8	24	23	23
PCDHGB5	515	410	621	1618	1522	2248
PCDHGB6	19	25	28	27	24	32
PCDHGB7	189	177	222	586	521	827
PCDHGB8P	10	12	14	12	20	18
PCDHGC3	841	707	1031	2251	2165	3182
PCDHGC4	7	5	9	13	20	30
PCDHGC5	9	9	12	56	63	96
PCDP1	10	6	16	11	15	12
PCED1A	2158	1768	2646	2320	2112	2982
PCED1B	116	81	140	593	544	766
PCED1B-AS1	1	3	4	12	19	12
PCF11	2956	2663	4888	2797	2643	3493
PCGF1	544	510	846	844	752	1046
PCGF2	495	420	739	949	871	1265
PCGF3	3044	2704	4460	4636	4212	5766
PCGF5	1634	1653	3336	944	845	984
PCGF6	213	179	347	522	463	633
PCID2	910	877	1595	1178	1151	1454
PCIF1	2238	1952	2747	2385	2136	3321
PCK2	1545	1339	2144	1278	1201	1777
PCLO	1648	1485	2354	758	750	954
PCM1	3953	3727	7071	3593	3545	4287
PCMT1	3252	3131	5658	4811	4895	5757
PCMTD1	1410	1397	2554	1322	1353	1564
PCMTD2	2385	2302	4256	2416	2469	2799
PCNA	3852	3704	7329	6479	6886	7917
PCNP	2989	2959	5987	4330	4509	5010
PCNT	3771	3332	5403	3599	3157	4655
PCNX	2283	2021	3508	4790	4707	6127
PCNXL2	777	701	1039	879	916	1160
PCNXL3	2976	2512	3531	4223	3662	5585
PCNXL4	1236	1204	2105	3401	3417	4250
PCOLCE	105	90	138	267	241	335
PCOLCE2	1	1	5	15	7	17
PCP2	19	17	16	6	2	6
PCP4L1	645	483	843	16	9	20
PCSK1	362	375	595	71	72	89
PCSK1N	220	196	144	346	226	402
PCSK4	108	103	136	97	80	129
PCSK5	45	28	59	140	121	160
PCSK6	42	49	57	39	52	70
PCSK7	1920	1637	2644	2827	2630	3700
PCSK9	2318	1895	3336	5430	4945	7103
PCTP	858	739	1321	907	884	1208
PCYOX1	5080	4733	9949	3560	3478	4466
PCYOX1L	1802	1582	2603	1589	1518	2146
PCYT1A	2151	2086	3184	1920	1833	2618
PCYT1B	12	12	10	8	8	12
PCYT2	1488	1214	1856	2416	2202	3139
PDAP1	3562	3024	5129	5445	4909	7067
PDC	1	2	6	2	5	6
PDCD10	2136	2033	3923	2631	2633	3127
PDCD11	3740	3285	5568	4593	4329	6408
PDCD1LG2	39	28	57	477	442	587
PDCD2	2467	2213	3968	2567	2420	3021
PDCD2L	241	221	295	322	295	426
PDCD4	10561	9901	19616	2845	2760	3389
PDCD5	1851	1572	3015	2372	2580	3111
PDCD6	4424	3694	6261	4839	4595	6776
PDCD6IP	7967	7238	12737	9696	9127	11894
PDCD7	735	610	1173	919	825	1143
PDCL	1271	1166	2128	1519	1565	1925
PDCL2	5	3	12	0	1	0
PDCL3	354	326	567	354	325	405
PDCL3P4	99	99	199	78	89	108
PDDC1	2444	2050	2988	4156	3784	5607
PDE12	1377	1357	2209	996	988	1311
PDE2A	34	21	36	269	254	381
PDE3B	12	5	10	11	13	17
PDE4A	156	116	192	1041	889	1266
PDE4B	22	20	49	234	268	291
PDE4C	5	7	8	12	9	17
PDE4D	2300	2227	3787	2279	2244	2381
PDE4DIP	9211	8245	13843	6906	6791	9317
PDE5A	101	91	196	110	106	108
PDE6A	213	180	325	843	781	1183
PDE6C	8	3	4	11	10	14
PDE6D	723	625	1077	884	834	1076
PDE7A	1329	1357	2631	1661	1705	1906
PDE7B	4	5	13	2	3	1
PDE8A	1145	1072	1972	1474	1411	1839
PDE8B	136	136	258	110	107	96
PDE9A	14	11	16	11	10	20
PDF	53	44	33	50	34	55
PDGFA	1324	1139	1831	3524	3205	4549
PDGFB	62	41	85	2477	2227	3114
PDGFC	873	821	1644	2876	2832	3329
PDGFD	128	136	175	29	33	25
PDGFRA	1	2	5	55	56	90
PDGFRB	2	7	13	44	36	54
PDGFRL	23	13	28	36	37	54
PDHA1	5475	4880	8353	3577	3297	4580
PDHA2	7	5	5	0	7	3
PDHB	3016	2802	4943	3376	3145	4221
PDHX	1558	1463	2657	1137	1050	1342
PDIA3	6020	5453	9659	13326	12913	16584
PDIA3P	8440	7823	14225	17341	17647	21507
PDIA4	6395	5678	9461	12709	11798	16674
PDIA5	643	595	1083	1939	1904	2562
PDIA6	6739	6180	10444	11050	10636	14645
PDIK1L	245	220	458	276	244	288
PDK1	615	592	1084	585	572	727
PDK2	2544	2145	3108	1332	1179	1816
PDK3	815	752	1479	603	619	755
PDK4	17	9	16	1	0	0
PDLIM1	16163	14167	21603	5571	5287	7652
PDLIM2	476	389	604	411	398	612
PDLIM3	12	11	10	99	81	125
PDLIM4	2289	1824	2536	8172	7249	11084
PDLIM5	2967	2902	5839	5972	6067	7620
PDLIM7	5655	4763	6688	20426	18076	28185
PDP1	1657	1561	2826	1207	1200	1464
PDP2	653	577	1013	653	700	938
PDPK1	2420	2246	3389	2520	2436	3277
PDPN	1227	1118	1791	25660	24425	32982
PDPR	1908	1721	2828	1908	1762	2385
PDRG1	1068	927	1502	1817	1737	2424
PDS5A	5354	5228	9354	7679	7697	8851
PDS5B	1590	1683	2893	1955	1901	2159
PDSS1	964	883	1548	412	391	530
PDSS2	1145	1064	2048	769	710	933
PDXDC1	3350	2953	5552	5056	4805	6547
PDXDC2P	313	245	499	582	544	668
PDXK	5673	4912	7850	10140	9327	13625
PDXP	674	543	814	1049	991	1296
PDZD11	1772	1670	2871	2195	2167	2666
PDZD2	2140	1862	3007	617	640	778
PDZD4	10	5	5	10	12	18
PDZD7	63	42	74	38	36	53
PDZD8	1145	1131	1878	2194	1990	2595
PDZD9	6	3	7	3	2	1
PDZK1	6	11	21	64	65	72
PDZK1IP1	160	145	188	138	149	208
PEA15	3884	3453	5387	17541	16784	22464
PEAK1	1435	1378	2234	1480	1422	1811
PEAR1	170	164	308	3213	3031	4347
PEBP1	9205	7934	13172	9045	8938	11700
PECAM1	75	77	137	3	10	3
PECR	531	468	977	177	174	252
PEF1	3959	3476	5643	4163	4016	5398
PEG10	351	318	574	248	238	301
PELI1	1634	1517	2691	1506	1516	1959
PELI2	754	700	1298	153	152	163
PELI3	256	235	289	337	289	430
PELO	1549	1345	2124	2958	2851	3942
PELP1	2706	2118	3348	2857	2624	3636
PEMT	484	369	473	655	511	837
PEPD	1123	969	1410	1628	1502	2183
PER1	16868	14015	21068	7937	7326	10993
PER2	1628	1438	2364	482	483	627
PER3	783	685	1182	290	266	413
PERP	65034	59782	102171	10947	10561	14611
PES1	5069	4181	6581	5466	4961	6747
PET100	496	447	821	783	654	984
PET112	2375	2056	3347	1728	1666	2283
PET117	13	12	23	15	21	28
PEX1	1000	972	1781	838	830	1002
PEX10	626	569	664	583	519	774
PEX11A	313	284	599	312	321	396
PEX11B	1636	1512	2393	2295	2159	2695
PEX11G	100	64	91	67	43	88
PEX12	371	333	561	342	347	421
PEX13	1144	1076	2287	1138	1071	1316
PEX14	1167	1044	1471	1248	1139	1654
PEX16	1639	1414	1852	1532	1462	2029
PEX19	3049	2850	4843	3584	3503	4383
PEX2	1071	1136	2057	1443	1425	1762
PEX26	1530	1270	1898	1513	1448	1941
PEX3	1001	946	1807	748	754	862
PEX5	1191	1072	1629	1248	1238	1817
PEX5L	7	11	22	56	35	44
PEX6	1069	924	1300	793	778	1045
PEX7	319	279	551	266	294	371
PF4	0	0	0	16	10	27
PFAS	1568	1314	2015	2681	2522	3571
PFDN1	3842	3499	5915	5947	5753	7574
PFDN2	1956	1747	2849	2624	2318	3198
PFDN4	1424	1366	2619	1525	1642	1849
PFDN5	7868	7118	12309	9623	9640	12685
PFDN6	1802	1708	3073	2119	2001	2723
PFKFB1	30	27	37	23	25	41
PFKFB2	1125	970	1849	640	647	823
PFKFB3	4275	3654	5609	5632	5298	7681
PFKFB4	1172	1064	1728	1047	974	1502
PFKL	6735	5680	7793	7225	6670	10381
PFKM	5320	4851	8106	2706	2646	3685
PFKP	6995	5948	9067	16537	15131	22979
PFN1	37499	30569	43712	53312	45812	63698
PFN1P2	16	22	35	58	38	52
PFN2	6268	5867	10346	8214	8120	10386
PFN4	18	24	57	80	96	141
PGAM1	3044	2870	3944	2786	2546	3565
PGAM1P5	1	4	6	3	6	0
PGAM2	156	136	198	140	130	164
PGAM4	193	178	312	232	253	298
PGAM5	1756	1549	2283	1601	1520	2206
PGAP1	1130	1120	2127	627	589	715
PGAP2	1605	1347	2167	826	821	1087
PGAP3	1261	1006	1498	722	682	933
PGBD1	202	184	352	725	757	954
PGBD2	169	171	308	342	318	451
PGBD3	351	320	641	589	566	710
PGBD4	143	119	245	157	170	177
PGBD5	87	65	104	977	867	1250
PGD	7037	6299	10261	5396	5147	7110
PGF	63	68	96	758	772	1094
PGGT1B	710	739	1405	872	886	936
PGK1	21703	19906	33276	26198	25851	34866
PGLS	2862	2236	2828	2372	1924	3079
PGLYRP1	2	1	4	6	5	4
PGLYRP2	0	0	0	2	1	1
PGLYRP3	45	46	63	1	0	1
PGLYRP4	124	83	145	2	0	2
PGM1	2447	2157	3447	2865	2719	3809
PGM2	3123	2984	5529	2662	2642	3275
PGM2L1	79	66	173	1165	1195	1458
PGM3	1005	992	1851	4965	4897	6060
PGM5P2	8	14	12	30	26	29
PGP	795	707	1028	1718	1536	2055
PGPEP1	567	546	887	275	245	306
PGRMC1	1963	1832	3193	2958	2863	3738
PGRMC2	2397	2218	4510	2893	2880	3432
PGS1	744	650	923	1260	1302	1823
PHACTR1	4	3	7	28	22	22
PHACTR2	1494	1382	2715	1297	1270	1568
PHACTR3	1520	1413	2711	175	199	205
PHACTR4	2556	2172	4001	2503	2386	2944
PHAX	2175	2068	4572	3244	3101	3841
PHB	6172	5448	8537	6247	6094	8108
PHB2	12858	11013	16489	10934	9974	14119
PHC1	139	124	229	307	248	331
PHC2	6869	6019	9276	11366	10472	14850
PHC3	1968	1885	3175	1572	1611	1977
PHEX	92	106	181	27	33	49
PHF1	947	818	1348	1926	1747	2443
PHF10	634	490	1138	609	589	813
PHF11	509	474	854	588	612	638
PHF12	1403	1201	1992	2330	2067	2997
PHF13	1015	838	1282	1043	892	1477
PHF14	1566	1450	2596	1912	1823	2251
PHF15	12860	10999	16310	5495	5187	7519
PHF16	430	423	672	663	633	780
PHF17	929	796	1535	769	699	972
PHF19	7578	6333	10433	5060	4843	6572
PHF2	2917	2391	3778	3866	3698	5170
PHF20	2619	2260	4272	4662	4549	5898
PHF20L1	2758	2729	4803	3818	3824	4704
PHF21A	1515	1366	2295	1554	1475	2072
PHF23	1747	1534	2321	3124	3063	4077
PHF3	3117	2867	4905	3003	3082	3395
PHF5A	1353	1174	2111	1959	1958	2529
PHF6	2149	1964	3616	2258	2277	2664
PHF7	507	455	823	312	258	367
PHF8	1478	1273	1866	1343	1148	1688
PHGDH	2616	2185	3809	722	652	921
PHIP	2899	2935	4783	2561	2754	3012
PHKA1	1256	1206	1999	426	376	497
PHKA2	1320	1182	1940	1127	1099	1489
PHKA2-AS1	15	5	14	7	14	16
PHKB	3635	3378	6613	2395	2403	2996
PHKG1	19	7	13	34	37	59
PHKG2	1377	1158	1899	1616	1633	2133
PHLDA1	16515	13865	21097	4402	4066	5341
PHLDA2	4765	3678	3865	1655	1363	2042
PHLDA3	2494	2084	2765	975	888	1386
PHLDB1	5433	4630	6615	14895	13111	19663
PHLDB2	7836	7174	12483	7685	7751	9516
PHLDB3	512	445	591	265	249	397
PHLPP1	1037	930	1370	542	523	727
PHLPP2	402	451	733	950	889	1173
PHOSPHO1	18	18	25	79	67	88
PHOSPHO2	66	84	131	67	66	55
PHPT1	2802	2335	3374	3517	3138	4365
PHRF1	4086	3276	4579	5719	5048	7752
PHTF1	297	272	520	909	889	1147
PHTF2	1773	1702	3150	1801	1704	2125
PHYH	1636	1441	2403	1474	1269	1715
PHYHD1	2	1	2	15	6	18
PHYHIP	16	10	25	37	24	33
PI3	1939	1654	3084	513	453	623
PI4K2A	4810	4290	6892	5698	5254	7350
PI4K2B	1824	1958	3441	1781	1776	2116
PI4KA	5357	4643	7210	4422	4247	6072
PI4KAP1	27	24	45	58	49	68
PI4KAP2	75	69	120	94	112	137
PI4KB	3649	3004	4964	3779	3571	5137
PIANP	7	2	13	15	15	24
PIAS1	2091	1936	2920	1473	1409	1797
PIAS2	731	654	1154	657	639	779
PIAS3	2618	2283	3666	3924	3584	5213
PIAS4	838	671	923	900	755	1198
PIBF1	595	584	1219	1065	1051	1198
PICALM	4621	4282	7976	8151	8402	9884
PICK1	1483	1244	1890	857	784	1154
PID1	611	598	991	8827	8322	11694
PIDD	807	657	948	887	847	1245
PIEZO1	6857	5343	7735	17533	15337	24299
PIF1	1062	886	1680	544	448	724
PIFO	22	16	52	9	4	7
PIGA	685	646	1250	729	727	863
PIGB	423	421	751	409	371	445
PIGC	925	804	1348	1197	1193	1461
PIGF	192	212	330	142	197	207
PIGG	2407	2133	3508	2610	2408	3254
PIGH	509	432	745	415	379	472
PIGK	1345	1309	2527	2023	2126	2319
PIGL	251	227	394	332	311	395
PIGM	663	567	1050	638	601	779
PIGN	1397	1316	2413	781	828	970
PIGO	4181	3651	5743	3455	3316	4572
PIGP	921	818	1551	846	898	1050
PIGQ	1585	1241	1688	2812	2516	3773
PIGS	3348	2869	4286	3474	3236	4439
PIGT	9214	7920	11264	10927	9666	14085
PIGU	1910	1656	2838	1693	1622	2045
PIGV	1336	1260	2067	957	947	1282
PIGW	1036	1032	2161	1037	968	1066
PIGX	623	591	1383	863	844	1016
PIGZ	418	348	571	618	574	737
PIH1D1	2317	1968	3300	2351	2309	3098
PIH1D2	78	67	158	89	99	83
PIK3AP1	7	7	10	1	3	5
PIK3C2A	2004	1898	4205	2382	2415	2861
PIK3C2B	837	747	1188	65	70	74
PIK3C2G	42	51	58	0	1	0
PIK3C3	1298	1193	2075	1421	1441	1816
PIK3CA	914	841	1570	1062	1025	1268
PIK3CB	1414	1367	2575	965	1043	1190
PIK3CD	423	366	514	2575	2320	3658
PIK3IP1	1007	885	1383	2618	2384	3664
PIK3R1	18721	17260	29673	20396	19971	24815
PIK3R2	8859	7213	9686	4926	4252	6156
PIK3R3	4167	3782	6294	465	372	520
PIK3R4	1518	1488	2567	2102	1978	2666
PIKFYVE	1946	1868	3776	2774	2679	3348
PILRA	32	19	55	38	21	36
PILRB	4214	3433	6794	3742	3560	5087
PIM1	10232	8597	14179	843	815	1038
PIM2	611	472	753	442	470	609
PIM3	3723	3121	3992	1425	1186	1825
PIN1	2216	1812	2547	2454	2112	3298
PIN1P1	13	8	14	11	17	21
PIN4	276	231	540	476	462	612
PIN4P1	301	227	498	434	420	500
PINK1	2520	2167	3179	6417	5845	8385
PINLYP	9	10	18	124	113	133
PINX1	772	608	1090	896	868	1153
PION	376	344	678	436	472	597
PIP4K2A	833	780	1397	1472	1340	1609
PIP4K2B	2288	2130	3439	4251	4122	5394
PIP4K2C	3311	2895	4791	2016	2012	2633
PIP5K1A	2644	2436	4497	3334	3319	4092
PIP5K1B	4	2	6	2	2	3
PIP5K1C	2521	2034	2753	3483	3043	4809
PIP5K1P1	30	34	65	42	34	52
PIP5KL1	117	96	133	192	150	215
PIPSL	1300	1110	1819	1504	1393	2002
PIR	115	104	179	3	8	11
PISD	1332	1132	1965	1934	1804	2604
PITHD1	1877	1731	2888	1698	1636	2033
PITPNA	3819	3517	5821	5201	5044	6821
PITPNA-AS1	323	266	457	303	245	359
PITPNB	4401	4347	7827	4816	4931	6015
PITPNC1	463	373	646	693	660	905
PITPNM1	3470	2829	3592	4424	3980	6221
PITPNM2	445	355	492	1132	1042	1480
PITPNM3	3837	3215	4706	2473	2190	3196
PITRM1	4119	3806	6480	5489	5562	7349
PITRM1-AS1	60	83	143	205	166	249
PITX1	8665	6947	8046	3084	2274	3548
PITX2	3	3	6	5	4	4
PITX3	2	2	1	5	6	8
PIWIL2	10	10	11	11	11	16
PIWIL4	4	8	14	37	34	58
PJA1	1209	1053	1630	1787	1585	2422
PJA2	5525	5220	8912	8226	8022	9841
PKD1	2454	1973	2659	3506	2950	4827
PKD1L1	4	5	12	21	10	11
PKD1P1	154	141	152	256	237	341
PKD2	839	770	1617	1831	1787	2260
PKD2L2	1	3	5	2	8	6
PKDCC	3	3	3	5	3	14
PKDREJ	5	4	9	15	11	23
PKI55	306	234	530	566	558	635
PKIA	759	738	1393	1720	1702	1942
PKIB	17	22	34	6	3	9
PKIG	612	517	817	1459	1440	1937
PKM	147740	126293	189573	115225	106935	150295
PKMYT1	1263	1171	1428	2462	2194	3445
PKN1	244	219	319	3729	3326	4728
PKN2	2668	2672	4796	2785	2714	3284
PKN3	375	337	481	360	311	450
PKNOX1	956	874	1470	1306	1252	1588
PKNOX2	1	0	1	10	5	10
PKP1	38850	33321	48954	12591	11670	17495
PKP2	3982	3753	5849	421	444	570
PKP3	9719	7720	10273	4122	3597	5770
PKP4	3152	2727	4872	2985	2895	3708
PLA2G10	6	2	2	2	3	2
PLA2G12A	979	1019	2017	834	825	1056
PLA2G15	468	394	625	800	788	1154
PLA2G16	21	21	45	39	38	48
PLA2G2A	11	8	5	0	0	0
PLA2G4A	478	427	802	133	107	157
PLA2G4B	5	10	21	10	8	9
PLA2G4C	3	3	8	86	67	100
PLA2G4D	9	8	18	4	5	4
PLA2G4E	54	42	105	1	1	2
PLA2G4F	527	438	639	1	1	0
PLA2G6	729	617	946	406	377	546
PLA2R1	760	656	1231	1495	1511	1789
PLAA	3004	2793	5236	3883	4064	5276
PLAC1	18	20	34	21	23	32
PLAC4	3	3	1	5	1	3
PLAC8L1	26	34	47	42	41	53
PLAC9	34	22	39	6	3	8
PLAG1	451	410	838	739	726	839
PLAGL1	207	189	397	323	311	432
PLAGL2	1442	1236	2045	1298	1161	1653
PLAT	2210	1932	2769	3879	3577	5280
PLAU	4956	4233	7224	6922	6480	9745
PLAUR	1688	1449	2099	3967	3909	5592
PLB1	246	237	359	19	22	23
PLBD1	20	14	45	15	19	23
PLBD2	1732	1389	2071	2196	2039	2886
PLCB1	236	206	423	147	158	185
PLCB2	6	7	6	56	38	46
PLCB3	6373	5291	7899	6455	5861	8908
PLCB4	11	10	22	974	946	1062
PLCD1	1296	1169	1667	493	438	642
PLCD3	3421	2751	4114	2725	2546	3739
PLCD4	1346	1202	2107	375	383	498
PLCE1	208	192	302	301	312	380
PLCG1	3948	3364	5588	9113	8782	12646
PLCG2	156	133	271	180	160	223
PLCH1	9	6	20	9	11	19
PLCH2	3800	3107	4365	3610	3170	5477
PLCL1	16	15	29	7	8	14
PLCL2	7	4	6	28	29	46
PLCXD1	3	7	12	24	33	19
PLCXD2	56	43	62	164	181	243
PLD1	1124	1016	1811	277	276	392
PLD2	2772	2345	3652	1783	1644	2411
PLD3	5310	4237	5642	6291	5577	8585
PLD4	1	0	2	7	2	10
PLD6	176	143	242	103	96	116
PLEC	67008	53952	70964	95772	81571	135722
PLEK	0	0	0	4	7	4
PLEK2	3102	2709	4447	12777	12296	17267
PLEKHA1	2812	2598	5230	2743	2798	3458
PLEKHA2	1800	1561	2955	1624	1624	1945
PLEKHA3	400	390	702	570	543	738
PLEKHA4	216	183	286	30	24	25
PLEKHA5	1866	1610	3083	1718	1804	2225
PLEKHA6	569	497	703	108	101	116
PLEKHA7	401	360	550	27	38	47
PLEKHA8	433	382	671	648	643	883
PLEKHA8P1	137	111	247	239	220	286
PLEKHB1	42	37	66	6	4	1
PLEKHB2	5133	4599	8289	4791	4426	5964
PLEKHD1	1	5	0	5	1	4
PLEKHF1	112	72	93	107	77	127
PLEKHF2	790	800	1471	617	642	693
PLEKHG1	85	66	112	136	121	161
PLEKHG2	1122	877	1603	3326	3055	4421
PLEKHG3	6545	5633	7715	1417	1361	1997
PLEKHG4	20	20	43	29	23	25
PLEKHG4B	1	0	0	7	9	9
PLEKHG5	1791	1418	2077	2169	1967	3044
PLEKHG6	64	38	85	27	22	29
PLEKHH1	372	358	621	106	83	146
PLEKHH2	112	129	202	84	88	101
PLEKHH3	1965	1660	2138	536	456	677
PLEKHJ1	1584	1357	1918	2172	1969	2777
PLEKHM1	1619	1322	1969	1673	1457	2308
PLEKHM1P	420	364	631	572	508	806
PLEKHM2	3270	2914	4070	5310	4686	7021
PLEKHM3	788	751	1257	953	955	1200
PLEKHN1	286	248	344	1033	847	1394
PLEKHO1	66	43	74	729	656	874
PLEKHO2	1060	926	1390	2910	2884	4118
PLGRKT	1537	1377	2602	1712	1687	2124
PLIN1	19	14	16	20	13	35
PLIN2	8	5	19	2	0	0
PLIN3	5312	4315	6306	7160	6581	9428
PLIN4	140	108	154	14	10	23
PLIN5	4	5	10	0	0	0
PLK1	10494	8826	13379	4380	3836	5550
PLK1S1	1020	942	1842	928	937	1215
PLK2	2134	1854	3824	1672	1718	1875
PLK3	1159	1002	1526	2475	2329	3379
PLK4	1676	1563	3019	1887	1911	2144
PLLP	992	866	1217	10	9	27
PLOD1	5236	4366	6724	11669	11111	15955
PLOD2	1777	1713	3521	12156	12516	14565
PLOD3	2901	2480	3577	6119	5500	8046
PLP2	21264	18285	27988	17257	15749	21120
PLRG1	2825	2601	4771	3407	3545	4278
PLS1	1029	1062	1918	126	148	180
PLS3	13742	13173	24554	13632	13693	17001
PLSCR1	942	899	1542	1135	1029	1326
PLSCR3	2	1	1	5	1	8
PLSCR4	239	228	438	97	101	145
PLTP	2823	2364	3369	1025	939	1398
PLVAP	0	0	0	35	39	43
PLXDC1	10	10	17	10	4	8
PLXDC2	515	403	629	601	528	762
PLXNA1	7774	6569	9092	11790	10535	16578
PLXNA2	1914	1666	2801	14682	13741	18999
PLXNA3	644	570	841	1402	1256	1915
PLXNA4	2	3	9	60	54	75
PLXNB1	15053	12409	19418	4191	3854	6079
PLXNB2	15323	12587	17552	13151	11769	18423
PLXNB3	542	419	657	398	358	504
PLXNC1	134	153	306	277	285	356
